COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
Ferredoxin!!!MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain	0	1	1	NA	COG1145!!!COG1149	GC_00001246	1	1	27	19
2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	0	1	1	NA	COG2227	GC_00001721, GC_00002810, GC_00008287	1	1	27	19
DNA-binding protein, stimulates sugar fermentation	0	1	1	NA	COG1489	GC_00001696	1	1	27	19
Ribosomal protein L11	0	1	1	NA	COG0080	GC_00000555	1	1	27	19
ABC-type sugar transport system, ATPase component	0	1	1	NA	COG1129	GC_00000119, GC_00000151, GC_00000371, GC_00001501, GC_00002258, GC_00003008, GC_00003771, GC_00003999, GC_00004140, GC_00004474, GC_00005831, GC_00007194, GC_00007442	1	1	27	19
tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	0	1	1	NA	COG0219	GC_00001473	1	1	27	19
Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling)	0	1	1	NA	COG1619	GC_00002470, GC_00008974	1	1	27	19
Uncharacterized membrane protein YccF, DUF307 family	0	1	1	NA	COG3304	GC_00001398	1	1	27	19
Uncharacterized conserved protein YfaQ, DUF2300 domain	0	1	1	NA	COG5445	GC_00000106	1	1	27	19
Phosphotransferase system cellobiose-specific component IIB	0	1	1	NA	COG1440	GC_00000769, GC_00004216	1	1	27	19
Disulfide bond formation protein DsbB	0	1	1	NA	COG1495	GC_00001783, GC_00004365	1	1	27	19
Citrate lyase beta subunit	0	1	1	NA	COG2301	GC_00000270, GC_00004544	1	1	27	19
Acyl-CoA hydrolase	0	1	1	NA	COG1607	GC_00001054, GC_00003775	1	1	27	19
Macrodomain Ter protein organizer, MatP/YcbG family	0	1	1	NA	COG3120	GC_00001560	1	1	27	19
Branched-chain amino acid ABC-type transport system, permease component	0	1	1	NA	COG0559	GC_00001741	1	1	27	19
Membrane-bound inhibitor of C-type lysozyme	0	1	1	NA	COG3895	GC_00002232	1	1	27	19
Orotidine-5'-phosphate decarboxylase	0	1	1	NA	COG0284	GC_00002503	1	1	27	19
Argininosuccinate synthase	0	1	1	NA	COG0137	GC_00001878	1	1	27	19
O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain	0	1	1	NA	COG2110	GC_00000087, GC_00001075, GC_00004000, GC_00007843, GC_00008715, GC_00010854	1	1	27	19
Lipoate-protein ligase B	0	1	1	NA	COG0321	GC_00000281	1	1	27	19
Cell division protein ZapB, interacts with FtsZ	0	1	1	NA	COG3074	GC_00003033, GC_00010476	1	1	27	19
Uncharacterized conserved protein YjbJ, UPF0337 family	0	1	1	NA	COG3237	GC_00001444	1	1	27	19
Cell division GTPase FtsZ	0	1	1	NA	COG0206	GC_00000561	1	1	27	19
tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	0	1	1	NA	COG0130	GC_00001089	1	1	27	19
Carbamate kinase	0	1	1	NA	COG0549	GC_00002044, GC_00002562, GC_00003332, GC_00004257, GC_00004797	1	1	27	19
RNA-splicing ligase RtcB, repairs tRNA damage	0	1	1	NA	COG1690	GC_00002885, GC_00003412, GC_00008628	1	1	27	19
Ribonuclease HI	0	1	1	NA	COG0328	GC_00001215	1	1	27	19
Small neutral amino acid transporter SnatA, MarC family	0	1	1	NA	COG2095	GC_00001299, GC_00001504, GC_00001628	1	1	27	19
NADH:ubiquinone oxidoreductase subunit 3 (chain A)	0	1	1	NA	COG0838	GC_00000892	1	1	27	19
Elongation factor P hydroxylase (EF-P beta-lysylation pathway)	0	1	1	NA	COG3101	GC_00002669	1	1	27	19
ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components	0	1	1	NA	COG4988	GC_00002729	1	1	27	19
Branched-chain amino acid permeases	0	1	1	NA	COG1114	GC_00001554	1	1	27	19
Fumarate reductase subunit C	0	1	1	NA	COG3029	GC_00000842	1	1	27	19
Phosphoribosylaminoimidazole-succinocarboxamide synthase	0	1	1	NA	COG0152	GC_00000745	1	1	27	19
Xaa-Pro aminopeptidase	0	1	1	NA	COG0006	GC_00001838, GC_00002834, GC_00003015, GC_00009982	1	1	27	19
RecA/RadA recombinase	0	1	1	NA	COG0468	GC_00000770	1	1	27	19
Uncharacterized conserved protein YbgA, DUF1722 family	0	1	1	NA	COG3272	GC_00002703	1	1	27	19
Phosphoethanolamine transferase for periplasmic glucans (OPG), alkaline phosphatase superfamily	0	1	1	NA	COG2194	GC_00000104, GC_00000175, GC_00000224, GC_00000366, GC_00002445, GC_00002599, GC_00003833, GC_00005205, GC_00008740, GC_00010500	1	1	27	19
Uncharacterized membrane protein YgdD, TMEM256/DUF423 family	0	1	1	NA	COG2363	GC_00001042	1	1	27	19
Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	0	1	1	NA	COG0450	GC_00000259	1	1	27	19
Bacterial lipocalin	0	1	1	NA	COG3040	GC_00000338, GC_00005824	1	1	27	19
Ribosomal protein S8	0	1	1	NA	COG0096	GC_00000616	1	1	27	19
Ribosomal protein L33	0	1	1	NA	COG0267	GC_00000632	1	1	27	19
Signal transduction histidine kinase, glucose-6-phosphate specific	0	1	1	NA	COG3851	GC_00002193, GC_00005501	1	1	27	19
Alcohol dehydrogenase YqhD, Fe-dependent ADH family	0	1	1	NA	COG1979	GC_00001754	1	1	27	19
Superfamily II DNA and RNA helicase	0	1	1	NA	COG0513	GC_00001066, GC_00001237, GC_00001288, GC_00002174, GC_00003201	1	1	27	19
Uncharacterized protein YqiB, DUF1249 family	0	1	1	NA	COG3151	GC_00000728	1	1	27	19
Glycine/serine hydroxymethyltransferase	0	1	1	NA	COG0112	GC_00001055	1	1	27	19
DNA mismatch repair ATPase MutL	0	1	1	NA	COG0323	GC_00002630, GC_00007980, GC_00011246	1	1	27	19
Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	0	1	1	NA	COG1494	GC_00001371, GC_00002427	1	1	27	19
DNA-binding winged helix-turn-helix (wHTH) domain	0	1	1	NA	COG3710	GC_00000423, GC_00004043, GC_00005737, GC_00005910, GC_00006257, GC_00011556	1	1	27	19
Threonine/homoserine/homoserine lactone efflux protein	0	1	1	NA	COG1280	GC_00002071, GC_00002164, GC_00002325, GC_00003053, GC_00003292, GC_00008221, GC_00011663	1	1	27	19
2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	0	1	1	NA	COG0245	GC_00001419	1	1	27	19
N-acetylglutamate synthase or related acetyltransferase, GNAT family!!!Acyl-coenzyme A thioesterase PaaI, contains HGG motif	0	1	1	NA	COG1246!!!COG2050	GC_00000283	1	1	27	19
Transaldolase	0	1	1	NA	COG0176	GC_00001125, GC_00001817, GC_00002378, GC_00002899	1	1	27	19
Rad3-related DNA helicase	0	1	1	NA	COG1199	GC_00001673, GC_00002459, GC_00005381	1	1	27	19
Molecular chaperone GrpE (heat shock protein)	0	1	1	NA	COG0576	GC_00001412	1	1	27	19
Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	0	1	1	NA	COG0318	GC_00001635, GC_00002832, GC_00003001, GC_00003213, GC_00005089, GC_00006418	1	1	27	19
Aminopeptidase N	0	1	1	NA	COG0308	GC_00002690	1	1	27	19
3-phosphoglycerate kinase	0	1	1	NA	COG0126	GC_00001007	1	1	27	19
ABC-type proline/glycine betaine transport system, ATPase component	0	1	1	NA	COG1125	GC_00000504	1	1	27	19
Uncharacterized paraquat-inducible protein A	0	1	1	NA	COG2995	GC_00001368, GC_00002359	1	1	27	19
Geranylgeranyl pyrophosphate synthase	0	1	1	NA	COG0142	GC_00001524, GC_00002154	1	1	27	19
DNA gyrase inhibitor GyrI	0	1	1	NA	COG3449	GC_00002370, GC_00002563	1	1	27	19
Glycosyltransferase involved in cell wall bisynthesis	0	1	1	NA	COG0463	GC_00002173, GC_00002602, GC_00003376, GC_00003426, GC_00003432, GC_00004041, GC_00005024, GC_00005359, GC_00005641, GC_00005651, GC_00005876, GC_00006243, GC_00006249, GC_00006259, GC_00006261, GC_00006263, GC_00006333, GC_00006371, GC_00006382, GC_00006485, GC_00007005, GC_00007242, GC_00007292, GC_00007374, GC_00007547, GC_00007569, GC_00008116, GC_00008203, GC_00008354, GC_00008548, GC_00008592, GC_00008739, GC_00008961, GC_00008970, GC_00009457, GC_00009504, GC_00009554, GC_00009574, GC_00009578, GC_00009605, GC_00009705, GC_00009709, GC_00009813, GC_00009928, GC_00009955, GC_00010019, GC_00010027, GC_00010041, GC_00010145, GC_00010317, GC_00010685, GC_00010840, GC_00011277, GC_00011522, GC_00011717, GC_00011945, GC_00012001	1	1	27	19
Enterochelin esterase or related enzyme	0	1	1	NA	COG2382	GC_00000466, GC_00003642, GC_00005348, GC_00009617	1	1	27	19
DNA repair exonuclease SbcCD ATPase subunit	0	1	1	NA	COG0419	GC_00003017, GC_00004185, GC_00004637, GC_00006061, GC_00006084, GC_00006917, GC_00007065, GC_00007170, GC_00007897, GC_00008147, GC_00009243, GC_00009346, GC_00010394, GC_00010548, GC_00011595	1	1	27	19
Na+-driven multidrug efflux pump	0	1	1	NA	COG0534	GC_00000228, GC_00002315, GC_00002552, GC_00005461	1	1	27	19
Cytidylate kinase	0	1	1	NA	COG0283	GC_00000551	1	1	27	19
4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	0	1	1	NA	COG2977	GC_00000400, GC_00004071	1	1	27	19
UDP-N-acetylmuramoylalanine-D-glutamate ligase	0	1	1	NA	COG0771	GC_00002545	1	1	27	19
Ni,Fe-hydrogenase I small subunit	0	1	1	NA	COG1740	GC_00000286, GC_00001591	1	1	27	19
Predicted CoA-binding protein	0	1	1	NA	COG1832	GC_00001370	1	1	27	19
Dethiobiotin synthetase	0	1	1	NA	COG0132	GC_00002644, GC_00003280, GC_00008320	1	1	27	19
D-serine dehydratase	0	1	1	NA	COG3048	GC_00000131	1	1	27	19
K+-transporting ATPase, c chain	0	1	1	NA	COG2156	GC_00002894	1	1	27	19
dUTPase	0	1	1	NA	COG0756	GC_00001182	1	1	27	19
Endonuclease III	0	1	1	NA	COG0177	GC_00001181	1	1	27	19
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	0	1	1	NA	COG0722	GC_00001676, GC_00001723, GC_00001826, GC_00006093	1	1	27	19
Signal transduction histidine kinase, nitrate/nitrite-specific	0	1	1	NA	COG3850	GC_00000377, GC_00001858	1	1	27	19
Superfamily II DNA or RNA helicase	0	1	1	NA	COG1061	GC_00002635, GC_00007111, GC_00008074, GC_00008946, GC_00009259	1	1	27	19
Deoxyinosine 3'endonuclease (endonuclease V)	0	1	1	NA	COG1515	GC_00000996	1	1	27	19
Membrane protein TerC, possibly involved in tellurium resistance!!!Hemolysin or related protein, contains CBS domains	0	1	1	NA	COG0861!!!COG1253	GC_00000923	1	1	27	19
ABC-type transporter Mla maintaining outer membrane lipid asymmetry, lipoprotein component MlaA	0	1	1	NA	COG2853	GC_00001665	1	1	27	19
Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits	0	1	1	NA	COG0799	GC_00000261	1	1	27	19
DNA mismatch repair protein MutH	0	1	1	NA	COG3066	GC_00001935	1	1	27	19
NhaP-type Na+/H+ or K+/H+ antiporter	0	1	1	NA	COG0025	GC_00001832, GC_00004714	1	1	27	19
Pseudouridylate synthase, 23S rRNA- or tRNA-specific	0	1	1	NA	COG0564	GC_00000350, GC_00001516, GC_00001531, GC_00002319	1	1	27	19
Succinyl-CoA synthetase, beta subunit!!!Acyl-CoA synthetase (NDP forming)!!!Protein N-acetyltransferase, RimJ/RimL family	0	1	1	NA	COG0045!!!COG1042!!!COG1670	GC_00002883	1	1	27	19
Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37	0	1	1	NA	COG0820	GC_00001193	1	1	27	19
Coproporphyrinogen III oxidase	0	1	1	NA	COG0408	GC_00002375	1	1	27	19
Predicted metal-dependent hydrolase	0	1	1	NA	COG1451	GC_00001590, GC_00008223, GC_00008540	1	1	27	19
Neutral trehalase!!!Glycogen debranching enzyme (alpha-1,6-glucosidase)	0	1	1	NA	COG1626!!!COG3408	GC_00000515	1	1	27	19
Uncharacterized membrane protein YhaH, DUF805 family	0	1	1	NA	COG3152	GC_00001319, GC_00001381, GC_00003871, GC_00004825	1	1	27	19
Uracil DNA glycosylase	0	1	1	NA	COG0692	GC_00002072	1	1	27	19
Predicted Zn-dependent peptidase	0	1	1	NA	COG0612	GC_00002474, GC_00003265	1	1	27	19
Uncharacterized membrane protein YjfL, UPF0719 family	0	1	1	NA	COG3766	GC_00001431	1	1	27	19
Membrane-associated phospholipid phosphatase	0	1	1	NA	COG0671	GC_00001583, GC_00001722, GC_00001774, GC_00005197, GC_00008491	1	1	27	19
Outer membrane protein assembly factor BamD, BamD/ComL family	0	1	1	NA	COG4105	GC_00000744	1	1	27	19
Preprotein translocase subunit SecG	0	1	1	NA	COG1314	GC_00001199	1	1	27	19
Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	0	1	1	NA	COG2867	GC_00002169	1	1	27	19
1,6-Anhydro-N-acetylmuramate kinase	0	1	1	NA	COG2377	GC_00002862	1	1	27	19
Biopolymer transport protein ExbB/TolQ	0	1	1	NA	COG0811	GC_00000863, GC_00001308	1	1	27	19
Phosphate uptake regulator	0	1	1	NA	COG0704	GC_00001877	1	1	27	19
Dihydrofolate reductase	0	1	1	NA	COG0262	GC_00001097, GC_00008562, GC_00009249, GC_00012080	1	1	27	19
Aspartate/glutamate racemase	0	1	1	NA	COG1794	GC_00001896, GC_00008819	1	1	27	19
tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	0	1	1	NA	COG0486	GC_00002629	1	1	27	19
Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	0	1	1	NA	COG0806	GC_00000615	1	1	27	19
Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	0	1	1	NA	COG3134	GC_00001373	1	1	27	19
Uncharacterized conserved protein YggL, DUF469 family	0	1	1	NA	COG3171	GC_00001744	1	1	27	19
Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM!!!Plastocyanin	0	1	1	NA	COG2822!!!COG3794	GC_00002494	1	1	27	19
Ferredoxin	0	1	1	NA	COG0633	GC_00001511, GC_00002119, GC_00006023	1	1	27	19
ABC-type Fe2+-enterobactin transport system, periplasmic component	0	1	1	NA	COG4592	GC_00000354	1	1	27	19
DNA repair exonuclease SbcCD nuclease subunit	0	1	1	NA	COG0420	GC_00001709	1	1	27	19
Transcriptional regulator of competence genes, TfoX/Sxy family	0	1	1	NA	COG3070	GC_00001716	1	1	27	19
Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	0	1	1	NA	COG0386	GC_00002365	1	1	27	19
Phosphoglycolate phosphatase, HAD superfamily	0	1	1	NA	COG0546	GC_00002486	1	1	27	19
ABC-type histidine transport system, ATPase component	0	1	1	NA	COG4598	GC_00001476	1	1	27	19
Galactose mutarotase or related enzyme	0	1	1	NA	COG2017	GC_00002124, GC_00003158, GC_00003919, GC_00004409, GC_00004485	1	1	27	19
Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	0	1	1	NA	COG2255	GC_00001267	1	1	27	19
Glutamate racemase	0	1	1	NA	COG0796	GC_00002594, GC_00007867	1	1	27	19
Predicted ATPase	0	1	1	NA	COG1485	GC_00002615, GC_00010180, GC_00010193, GC_00010263, GC_00011141, GC_00012091	1	1	27	19
Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	0	1	1	NA	COG0661	GC_00001595, GC_00004024, GC_00005050, GC_00006770	1	1	27	19
Predicted ATP-dependent serine protease	0	1	1	NA	COG1066	GC_00000301	1	1	27	19
Selenocysteine lyase/Cysteine desulfurase	0	1	1	NA	COG0520	GC_00002576, GC_00002716	1	1	27	19
ABC-type transport system, involved in lipoprotein release, permease component	0	1	1	NA	COG4591	GC_00001102, GC_00002336, GC_00005870	1	1	27	19
Phosphatidylserine decarboxylase	0	1	1	NA	COG0688	GC_00001313	1	1	27	19
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	0	1	1	NA	COG1165	GC_00002343	1	1	27	19
Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	0	1	1	NA	COG0651	GC_00002852, GC_00003735, GC_00003859, GC_00006240	1	1	27	19
Ribosomal protein L15	0	1	1	NA	COG0200	GC_00001044	1	1	27	19
Predicted dehydrogenase	0	1	1	NA	COG0673	GC_00000402, GC_00002079, GC_00002214, GC_00002773, GC_00003259, GC_00004988, GC_00010562, GC_00011118, GC_00011646, GC_00011877	1	1	27	19
Uncharacterized protein involved in outer membrane biogenesis	0	1	1	NA	COG2982	GC_00002130, GC_00002493, GC_00002733	1	1	27	19
Predicted transposase YdaD	0	1	1	NA	COG5464	GC_00000059, GC_00000244, GC_00002600, GC_00002873, GC_00003421, GC_00005822, GC_00005951, GC_00006196, GC_00006236, GC_00006648, GC_00008699, GC_00009360, GC_00009588, GC_00010290	1	1	27	19
Folylpolyglutamate synthase/Dihydropteroate synthase	0	1	1	NA	COG0285	GC_00002643	1	1	27	19
DNA gyrase/topoisomerase IV, subunit A	0	1	1	NA	COG0188	GC_00001666, GC_00002356	1	1	27	19
Glycerol-3-phosphate dehydrogenase	0	1	1	NA	COG0240	GC_00000742, GC_00001796, GC_00002926	1	1	27	19
Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit	0	1	1	NA	COG4660	GC_00002235	1	1	27	19
Ribosome modulation factor	0	1	1	NA	COG3130	GC_00000705	1	1	27	19
tRNA A37 threonylcarbamoyladenosine modification protein TsaB	0	1	1	NA	COG1214	GC_00002713	1	1	27	19
Citrate lyase synthetase	0	1	1	NA	COG3053	GC_00000318	1	1	27	19
Predicted sulfurtransferase	0	1	1	NA	COG1054	GC_00002756	1	1	27	19
S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis	0	1	1	NA	COG1854	GC_00001738	1	1	27	19
tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	0	1	1	NA	COG0802	GC_00001197	1	1	27	19
CBS domain!!!D-arabinose 5-phosphate isomerase GutQ	0	1	1	NA	COG0517!!!COG0794	GC_00001128, GC_00001937, GC_00004230	1	1	27	19
Actin-like ATPase involved in cell morphogenesis	0	1	1	NA	COG1077	GC_00000727, GC_00004117	1	1	27	19
ABC-type proline/glycine betaine transport system, periplasmic component	0	1	1	NA	COG2113	GC_00002580	1	1	27	19
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	0	1	1	NA	COG0161	GC_00003021	1	1	27	19
Uncharacterized protein VirK/YbjX	0	1	1	NA	COG2990	GC_00002295, GC_00005898	1	1	27	19
Tetratricopeptide (TPR) repeat	0	1	1	NA	COG0457	GC_00000519, GC_00003523, GC_00004039, GC_00004503, GC_00005135, GC_00005680, GC_00006922, GC_00007023, GC_00009480, GC_00010474	1	1	27	19
Glutaminase	0	1	1	NA	COG2066	GC_00003056, GC_00003209	1	1	27	19
Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities)	0	1	1	NA	COG1806	GC_00000964	1	1	27	19
Prephenate dehydrogenase!!!Chorismate mutase	0	1	1	NA	COG0287!!!COG1605	GC_00002067	1	1	27	19
Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module	0	1	1	NA	COG2938	GC_00000865	1	1	27	19
Uncharacterized membrane protein YhdT	0	1	1	NA	COG3924	GC_00001572	1	1	27	19
Fructose/tagatose bisphosphate aldolase	0	1	1	NA	COG0191	GC_00001107, GC_00001209, GC_00003316, GC_00003416, GC_00004132, GC_00004333, GC_00004353, GC_00004443, GC_00005779, GC_00005811	1	1	27	19
Uncharacterized OsmC-related protein	0	1	1	NA	COG1765	GC_00000748	1	1	27	19
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	0	1	1	NA	COG0115	GC_00001079, GC_00002550	1	1	27	19
DNA topoisomerase IA	0	1	1	NA	COG0550	GC_00002556, GC_00009847, GC_00010076	1	1	27	19
ABC-type branched-chain amino acid transport system, periplasmic component	0	1	1	NA	COG0683	GC_00001414, GC_00002217	1	1	27	19
G:T/U-mismatch repair DNA glycosylase	0	1	1	NA	COG3663	GC_00001214	1	1	27	19
Uncharacterized conserved protein YfcZ, UPF0381/DUF406 family	0	1	1	NA	COG3691	GC_00001161, GC_00001363	1	1	27	19
2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	0	1	1	NA	COG1902	GC_00002441, GC_00004036, GC_00010543	1	1	27	19
Na+/glutamate symporter	0	1	1	NA	COG0786	GC_00002090	1	1	27	19
Malate/lactate dehydrogenase	0	1	1	NA	COG0039	GC_00001180, GC_00008928, GC_00010360	1	1	27	19
Flagellar biosynthesis pathway, component FlhA	0	1	1	NA	COG1298	GC_00000245, GC_00003131	1	1	27	19
L-2-hydroxyglutarate oxidase LhgO	0	1	1	NA	COG0579	GC_00002740, GC_00003268	1	1	27	19
5'-3' exonuclease	0	1	1	NA	COG0258	GC_00002522	1	1	27	19
D-ribose pyranose/furanose isomerase RbsD	0	1	1	NA	COG1869	GC_00002456, GC_00007855	1	1	27	19
Type II secretory pathway, component HofQ	0	1	1	NA	COG4796	GC_00002864, GC_00008042, GC_00009217, GC_00010523, GC_00012022	1	1	27	19
Alkaline phosphatase	0	1	1	NA	COG1785	GC_00002849	1	1	27	19
ABC-type glycerol-3-phosphate transport system, periplasmic component	0	1	1	NA	COG1653	GC_00000161, GC_00001780	1	1	27	19
Putative aminopeptidase FrvX	0	1	1	NA	COG1363	GC_00002672, GC_00003734, GC_00004787	1	1	27	19
Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation	0	1	1	NA	COG2915	GC_00001843	1	1	27	19
Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family	0	1	1	NA	COG3757	GC_00000475	1	1	27	19
Alkylhydroperoxidase family enzyme, contains CxxC motif	0	1	1	NA	COG2128	GC_00002385, GC_00004070	1	1	27	19
Various environmental stresses-induced protein Ves (function unknown)	0	1	1	NA	COG3758	GC_00002290, GC_00008009	1	1	27	19
UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	0	1	1	NA	COG1922	GC_00002035, GC_00010681, GC_00012165	1	1	27	19
DNA-binding transcriptional regulator, MltR family	0	1	1	NA	COG3722	GC_00001326, GC_00002717, GC_00011799	1	1	27	19
Uncharacterized membrane protein SirB2	0	1	1	NA	COG3094	GC_00002333	1	1	27	19
3-keto-L-gulonate-6-phosphate decarboxylase	0	1	1	NA	COG0269	GC_00001694, GC_00003577, GC_00009653	1	1	27	19
DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	0	1	1	NA	COG2204	GC_00000254, GC_00002096, GC_00002269, GC_00003699, GC_00004514, GC_00005890, GC_00007447	1	1	27	19
UDP-N-acetylmuramyl pentapeptide synthase	0	1	1	NA	COG0770	GC_00002314	1	1	27	19
SAM-dependent methyltransferase	0	1	1	NA	COG0500	GC_00002298, GC_00003187, GC_00003381, GC_00004067, GC_00011802	1	1	27	19
Transcriptional accessory protein Tex/SPT6	0	1	1	NA	COG2183	GC_00002959	1	1	27	19
Uncharacterized conserved protein YejL, UPF0352 family	0	1	1	NA	COG3082	GC_00001298	1	1	27	19
Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	0	1	1	NA	COG0028	GC_00000138, GC_00001991, GC_00002697, GC_00002842, GC_00003251	1	1	27	19
NAD dependent epimerase/dehydratase family enzyme	0	1	1	NA	COG1090	GC_00002490	1	1	27	19
Predicted house-cleaning NTP pyrophosphatase, Maf/HAM1 superfamily	0	1	1	NA	COG0424	GC_00001294, GC_00002129	1	1	27	19
Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase	0	1	1	NA	COG0537	GC_00001141	1	1	27	19
Succinate-acetate transporter protein	0	1	1	NA	COG1584	GC_00001411	1	1	27	19
Argininosuccinate lyase	0	1	1	NA	COG0165	GC_00002368, GC_00009724	1	1	27	19
Malic enzyme	0	1	1	NA	COG0281	GC_00002382, GC_00010174	1	1	27	19
Formamidopyrimidine-DNA glycosylase	0	1	1	NA	COG0266	GC_00001527, GC_00003420, GC_00007332	1	1	27	19
Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains	0	1	1	NA	COG3118	GC_00000652, GC_00000874, GC_00003085, GC_00010407	1	1	27	19
Peptide methionine sulfoxide reductase MsrB	0	1	1	NA	COG0229	GC_00001171	1	1	27	19
Exonuclease VII small subunit	0	1	1	NA	COG1722	GC_00000752	1	1	27	19
Fructoselysine-6-P-deglycase FrlB and related proteins with duplicated sugar isomerase (SIS) domain	0	1	1	NA	COG2222	GC_00002791, GC_00004017, GC_00005652	1	1	27	19
Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	0	1	1	NA	COG0127	GC_00002561	1	1	27	19
1-acyl-sn-glycerol-3-phosphate acyltransferase	0	1	1	NA	COG0204	GC_00001236, GC_00002518, GC_00004578	1	1	27	19
Excinuclease UvrABC helicase subunit UvrB	0	1	1	NA	COG0556	GC_00001135	1	1	27	19
1-deoxy-D-xylulose 5-phosphate reductoisomerase	0	1	1	NA	COG0743	GC_00000344	1	1	27	19
Rhodanese-related sulfurtransferase	0	1	1	NA	COG0607	GC_00000854, GC_00001657, GC_00001829, GC_00002681, GC_00005496	1	1	27	19
Ribosomal protein S4 or related protein	0	1	1	NA	COG0522	GC_00000594	1	1	27	19
Cell division protein FtsB	0	1	1	NA	COG2919	GC_00001312	1	1	27	19
Single-stranded DNA-binding protein	0	1	1	NA	COG0629	GC_00000648, GC_00005091, GC_00005238, GC_00005382, GC_00005548, GC_00006139, GC_00007215, GC_00007696, GC_00008908, GC_00010255, GC_00010260, GC_00010299, GC_00011645	1	1	27	19
Periplasmic protein TonB, links inner and outer membranes	0	1	1	NA	COG0810	GC_00002163, GC_00004420, GC_00005390, GC_00006798	1	1	27	19
Transcription-repair coupling factor (superfamily II helicase)	0	1	1	NA	COG1197	GC_00000505	1	1	27	19
Zn-dependent alcohol dehydrogenase	0	1	1	NA	COG1062	GC_00001893	1	1	27	19
Predicted outer membrane lipoprotein	0	1	1	NA	COG4890	GC_00000703	1	1	27	19
Glycerol kinase	0	1	1	NA	COG0554	GC_00001331, GC_00007384	1	1	27	19
Uncharacterized conserved protein, contains Zn finger domain	0	1	1	NA	COG4715	GC_00000195, GC_00010578	1	1	27	19
Uncharacterized membrane protein YbaN, DUF454 family	0	1	1	NA	COG2832	GC_00001435	1	1	27	19
ABC-type Fe3+-siderophore transport system, permease component	0	1	1	NA	COG0609	GC_00000389, GC_00003230, GC_00003945, GC_00004011, GC_00004014, GC_00004075, GC_00004136, GC_00004142, GC_00004595	1	1	27	19
Positive regulator of sigma E activity	0	1	1	NA	COG3086	GC_00002252	1	1	27	19
Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM	0	1	1	NA	COG3454	GC_00002890	1	1	27	19
Exopolyphosphatase/pppGpp-phosphohydrolase	0	1	1	NA	COG0248	GC_00000394, GC_00001145	1	1	27	19
Uncharacterized conserved protein YggU, UPF0235/DUF167 family	0	1	1	NA	COG1872	GC_00001500	1	1	27	19
Tryptophan synthase beta chain	0	1	1	NA	COG0133	GC_00000363	1	1	27	19
